Country,Year,Value
Africa,1988,726048074
Africa,1989,699220923
Africa,1990,659294543
Africa,1991,689025539
Africa,1992,668677085
Africa,1993,708858320
Africa,1994,719622610
Africa,1995,771994122
Africa,1996,783254265
Africa,1997,812903488
Africa,1998,838022046
Africa,1999,830397266
Africa,2000,886561876
Africa,2001,884168245
Africa,2002,892574682
Africa,2003,967219666
Africa,2004,1036685536
Africa,2005,1057341604
Africa,2006,1090194921
Africa,2007,1132293212
Africa,2008,1181391104
Africa,2009,1191035249
Africa,2010,1218023292
Africa,2011,1258708905
Africa,2012,1253144211
Africa,2013,1260316387
Africa,2014,1363499747
Africa,2015,1322735077
Africa,2016,1356719492
Africa,2017,1384372117
Africa,2018,1385644894
Africa,2019,1408478929
Africa,2020,1326043539
Asia,1750,0
Asia,1751,0
Asia,1752,0
Asia,1753,0
Asia,1754,0
Asia,1755,0
Asia,1756,0
Asia,1757,0
Asia,1758,0
Asia,1759,0
Asia,1760,0
Asia,1761,0
Asia,1762,0
Asia,1763,0
Asia,1764,0
Asia,1765,0
Asia,1766,0
Asia,1767,0
Asia,1768,0
Asia,1769,0
Asia,1770,0
Asia,1771,0
Asia,1772,0
Asia,1773,0
Asia,1774,0
Asia,1775,0
Asia,1776,0
Asia,1777,0
Asia,1778,0
Asia,1779,0
Asia,1780,0
Asia,1781,0
Asia,1782,0
Asia,1783,0
Asia,1784,0
Asia,1785,0
Asia,1786,0
Asia,1787,0
Asia,1788,0
Asia,1789,0
Asia,1790,0
Asia,1791,0
Asia,1792,0
Asia,1793,0
Asia,1794,0
Asia,1795,0
Asia,1796,0
Asia,1797,0
Asia,1798,0
Asia,1799,0
Asia,1800,0
Asia,1801,0
Asia,1802,0
Asia,1803,0
Asia,1804,0
Asia,1805,0
Asia,1806,0
Asia,1807,0
Asia,1808,0
Asia,1809,0
Asia,1810,0
Asia,1811,0
Asia,1812,0
Asia,1813,0
Asia,1814,0
Asia,1815,0
Asia,1816,0
Asia,1817,0
Asia,1818,0
Asia,1819,0
Asia,1820,0
Asia,1821,0
Asia,1822,0
Asia,1823,0
Asia,1824,0
Asia,1825,0
Asia,1826,0
Asia,1827,0
Asia,1828,0
Asia,1829,0
Asia,1830,2394
Asia,1831,2874
Asia,1832,1917
Asia,1833,2394
Asia,1834,0
Asia,1835,0
Asia,1836,0
Asia,1837,0
Asia,1838,0
Asia,1839,0
Asia,1840,0
Asia,1841,0
Asia,1842,0
Asia,1843,0
Asia,1844,0
Asia,1845,0
Asia,1846,0
Asia,1847,0
Asia,1848,0
Asia,1849,0
Asia,1850,14850
Asia,1851,0
Asia,1852,0
Asia,1853,0
Asia,1854,0
Asia,1855,45031
Asia,1856,0
Asia,1857,0
Asia,1858,458285
Asia,1859,704457
Asia,1860,732653
Asia,1861,610537
Asia,1862,652634
Asia,1863,717183
Asia,1864,696919
Asia,1865,831913
Asia,1866,1209802
Asia,1867,640584
Asia,1868,530818
Asia,1869,752382
Asia,1870,682223
Asia,1871,907102
Asia,1872,980265
Asia,1873,937151
Asia,1874,1642245
Asia,1875,2711942
Asia,1876,2820634
Asia,1877,2902732
Asia,1878,5477012
Asia,1879,5690505
Asia,1880,6211425
Asia,1881,6371578
Asia,1882,6901475
Asia,1883,7632929
Asia,1884,8217833
Asia,1885,8567155
Asia,1886,9143532
Asia,1887,10569025
Asia,1888,11750825
Asia,1889,13819326
Asia,1890,15128221
Asia,1891,17249326
Asia,1892,18323509
Asia,1893,20470128
Asia,1894,22806617
Asia,1895,26372374
Asia,1896,28100072
Asia,1897,30567185
Asia,1898,36578548
Asia,1899,38846373
Asia,1900,44119427
Asia,1901,50483996
Asia,1902,52619952
Asia,1903,57142089
Asia,1904,64124574
Asia,1905,65417968
Asia,1906,87527399
Asia,1907,94294143
Asia,1908,106136979
Asia,1909,105951259
Asia,1910,104674490
Asia,1911,121138630
Asia,1912,112716931
Asia,1913,124070544
Asia,1914,131447642
Asia,1915,127501520
Asia,1916,137918471
Asia,1917,149998088
Asia,1918,153275470
Asia,1919,169919363
Asia,1920,162005900
Asia,1921,158416551
Asia,1922,168042985
Asia,1923,184953905
Asia,1924,199653142
Asia,1925,202835344
Asia,1926,204900951
Asia,1927,224699438
Asia,1928,235121388
Asia,1929,246093757
Asia,1930,246557694
Asia,1931,237337417
Asia,1932,237432769
Asia,1933,261528881
Asia,1934,296937540
Asia,1935,322726372
Asia,1936,354201472
Asia,1937,375599676
Asia,1938,389285021
Asia,1939,412157752
Asia,1940,467790981
Asia,1941,472586208
Asia,1942,433908067
Asia,1943,428679468
Asia,1944,435865250
Asia,1945,323129099
Asia,1946,311410444
Asia,1947,372868560
Asia,1948,370219312
Asia,1949,456735655
Asia,1950,476121837
Asia,1951,456067222
Asia,1952,505794625
Asia,1953,541411695
Asia,1954,593297587
Asia,1955,676212146
Asia,1956,750836884
Asia,1957,845232786
Asia,1958,1139732611
Asia,1959,1375521891
Asia,1960,1540394483
Asia,1961,1395308133
Asia,1962,1344445545
Asia,1963,1425118416
Asia,1964,1509494689
Asia,1965,1652064447
Asia,1966,1799358286
Asia,1967,1827449007
Asia,1968,2018387350
Asia,1969,2291939814
Asia,1970,2699300836
Asia,1971,2953833259
Asia,1972,3124009857
Asia,1973,3355519482
Asia,1974,3415347407
Asia,1975,3581002878
Asia,1976,3806119266
Asia,1977,4050961252
Asia,1978,4232254059
Asia,1979,4405939806
Asia,1980,4400904783
Asia,1981,4374459208
Asia,1982,4524213069
Asia,1983,4706386594
Asia,1984,4980670654
Asia,1985,5272290607
Asia,1986,5498752809
Asia,1987,5735493718
Asia,1988,6205031052
Asia,1989,6421483079
Asia,1990,6625837983
Asia,1991,6956347159
Asia,1992,7269585454
Asia,1993,7600515327
Asia,1994,7931294332
Asia,1995,8251608613
Asia,1996,8579100358
Asia,1997,8691038455
Asia,1998,8421433438
Asia,1999,8678316711
Asia,2000,9091054959
Asia,2001,9259171838
Asia,2002,9779534328
Asia,2003,10716110297
Asia,2004,11681500681
Asia,2005,12522218780
Asia,2006,13363127459
Asia,2007,14080908201
Asia,2008,14811211177
Asia,2009,15412299488
Asia,2010,16530950685
Asia,2011,17746631804
Asia,2012,18456299828
Asia,2013,18714335123
Asia,2014,19018801891
Asia,2015,19135910319
Asia,2016,19218166352
Asia,2017,19653512867
Asia,2018,20254370026
Asia,2019,20608592701
Asia,2020,20317058379
Europe,1750,9350528
Europe,1751,9350528
Europe,1752,9354192
Europe,1753,9354192
Europe,1754,9357856
Europe,1755,9361520
Europe,1756,10006384
Europe,1757,10010048
Europe,1758,10013712
Europe,1759,10017376
Europe,1760,10017376
Europe,1761,10973680
Europe,1762,10977344
Europe,1763,10981008
Europe,1764,10984672
Europe,1765,10988336
Europe,1766,12259744
Europe,1767,12263408
Europe,1768,12267072
Europe,1769,12270736
Europe,1770,12274400
Europe,1771,13611760
Europe,1772,13615424
Europe,1773,13619088
Europe,1774,13622752
Europe,1775,13626416
Europe,1776,15037056
Europe,1777,15040720
Europe,1778,15044384
Europe,1779,15048048
Europe,1780,15055376
Europe,1781,16843408
Europe,1782,16847072
Europe,1783,16854400
Europe,1784,16858064
Europe,1785,16865392
Europe,1786,19148064
Europe,1787,19155392
Europe,1788,19159056
Europe,1789,19166384
Europe,1790,19173712
Europe,1791,21416080
Europe,1792,21892400
Europe,1793,21910720
Europe,1794,21877744
Europe,1795,21888736
Europe,1796,22947632
Europe,1797,24090800
Europe,1798,25091072
Europe,1799,26424768
Europe,1800,27835408
Europe,1801,27688848
Europe,1802,36489776
Europe,1803,31187968
Europe,1804,33972608
Europe,1805,33074928
Europe,1806,34709072
Europe,1807,36493440
Europe,1808,34668768
Europe,1809,34683424
Europe,1810,36958768
Europe,1811,39131520
Europe,1812,40520176
Europe,1813,40696048
Europe,1814,41564416
Europe,1815,42883456
Europe,1816,46998128
Europe,1817,48709216
Europe,1818,48859440
Europe,1819,49181872
Europe,1820,49892688
Europe,1821,50603504
Europe,1822,52596720
Europe,1823,55645168
Europe,1824,57506480
Europe,1825,59616944
Europe,1826,60100592
Europe,1827,64464416
Europe,1828,65039664
Europe,1829,64596320
Europe,1830,87028597
Europe,1831,82257590
Europe,1832,82082675
Europe,1833,83272997
Europe,1834,85100064
Europe,1835,86125984
Europe,1836,100041856
Europe,1837,99382336
Europe,1838,103009696
Europe,1839,106091120
Europe,1840,113052720
Europe,1841,116401616
Europe,1842,122582784
Europe,1843,125085296
Europe,1844,132112848
Europe,1845,144002528
Europe,1846,145057760
Europe,1847,157299184
Europe,1848,156991408
Europe,1849,165242736
Europe,1850,177029630
Europe,1851,174102288
Europe,1852,180675504
Europe,1853,186944608
Europe,1854,221855200
Europe,1855,221810168
Europe,1856,237075456
Europe,1857,238618000
Europe,1858,241801069
Europe,1859,254972982
Europe,1860,281812209
Europe,1861,300478320
Europe,1862,305040025
Europe,1863,321230117
Europe,1864,346627022
Europe,1865,371214067
Europe,1866,383590318
Europe,1867,401820505
Europe,1868,406191500
Europe,1869,425356161
Europe,1870,431409632
Europe,1871,459741969
Europe,1872,496532311
Europe,1873,522498226
Europe,1874,484544905
Europe,1875,534635642
Europe,1876,547123780
Europe,1877,545931491
Europe,1878,551743820
Europe,1879,569566060
Europe,1880,640717753
Europe,1881,657749226
Europe,1882,680172504
Europe,1883,718737032
Europe,1884,714114256
Europe,1885,716626785
Europe,1886,715952931
Europe,1887,743250804
Europe,1888,787469107
Europe,1889,824518449
Europe,1890,862527964
Europe,1891,892961894
Europe,1892,879268189
Europe,1893,854817752
Europe,1894,927854281
Europe,1895,952554435
Europe,1896,996090638
Europe,1897,1045580067
Europe,1898,1079071410
Europe,1899,1149405592
Europe,1900,1205634433
Europe,1901,1195102204
Europe,1902,1195967404
Europe,1903,1245050532
Europe,1904,1268305471
Europe,1905,1305575825
Europe,1906,1347295601
Europe,1907,1492693435
Europe,1908,1517106467
Europe,1909,1518710768
Europe,1910,1538492133
Europe,1911,1573984768
Europe,1912,1632356078
Europe,1913,1767217084
Europe,1914,1573793464
Europe,1915,1492706247
Europe,1916,1561014950
Europe,1917,1533266620
Europe,1918,1394054050
Europe,1919,1183761186
Europe,1920,1373670782
Europe,1921,1253114718
Europe,1922,1397864742
Europe,1923,1335672826
Europe,1924,1541490880
Europe,1925,1526763297
Europe,1926,1308384783
Europe,1927,1670139118
Europe,1928,1676784845
Europe,1929,1820241885
Europe,1930,1721169046
Europe,1931,1606566367
Europe,1932,1492846009
Europe,1933,1537176189
Europe,1934,1682142368
Europe,1935,1766803244
Europe,1936,1876495299
Europe,1937,2036583243
Europe,1938,2045974976
Europe,1939,2094155174
Europe,1940,2227796437
Europe,1941,2142812350
Europe,1942,1996334644
Europe,1943,2002949695
Europe,1944,1889258345
Europe,1945,1233343091
Europe,1946,1656558714
Europe,1947,1907210680
Europe,1948,2055523221
Europe,1949,2242201278
Europe,1950,2382639410
Europe,1951,2629480210
Europe,1952,2713203162
Europe,1953,2790667099
Europe,1954,2969121271
Europe,1955,3232661794
Europe,1956,3444107828
Europe,1957,3592022483
Europe,1958,3630382366
Europe,1959,3711830506
Europe,1960,3961922835
Europe,1961,4106401353
Europe,1962,4333285839
Europe,1963,4607005636
Europe,1964,4836004626
Europe,1965,4978519865
Europe,1966,5149149081
Europe,1967,5262922990
Europe,1968,5508267150
Europe,1969,5808330574
Europe,1970,6090346255
Europe,1971,6312748240
Europe,1972,6541128889
Europe,1973,6833578783
Europe,1974,6851163858
Europe,1975,6889733011
Europe,1976,7264646559
Europe,1977,7320281269
Europe,1978,7552390389
Europe,1979,7732355204
Europe,1980,7735701430
Europe,1981,7453971675
Europe,1982,7394330536
Europe,1983,7400813605
Europe,1984,7451776191
Europe,1985,7775661001
Europe,1986,7788329538
Europe,1987,7812748002
Europe,1988,7846139038
Europe,1989,7813968314
Europe,1990,8015588993
Europe,1991,7714385696
Europe,1992,7078817583
Europe,1993,6791984195
Europe,1994,6433785144
Europe,1995,6415240923
Europe,1996,6464354025
Europe,1997,6258128350
Europe,1998,6232186994
Europe,1999,6147588627
Europe,2000,6149033673
Europe,2001,6275941415
Europe,2002,6241655552
Europe,2003,6387841133
Europe,2004,6419130511
Europe,2005,6410329615
Europe,2006,6509434302
Europe,2007,6457352334
Europe,2008,6384572255
Europe,2009,5871171361
Europe,2010,6098534908
Europe,2011,6023668149
Europe,2012,5972231655
Europe,2013,5815574828
Europe,2014,5589757324
Europe,2015,5594384221
Europe,2016,5590252902
Europe,2017,5620306625
Europe,2018,5593057381
Europe,2019,5430238970
Europe,2020,4946034489
North America,1750,0
North America,1751,0
North America,1752,0
North America,1753,0
North America,1754,0
North America,1755,0
North America,1756,0
North America,1757,0
North America,1758,0
North America,1759,0
North America,1760,0
North America,1761,0
North America,1762,0
North America,1763,0
North America,1764,0
North America,1765,0
North America,1766,0
North America,1767,0
North America,1768,0
North America,1769,0
North America,1770,0
North America,1771,0
North America,1772,0
North America,1773,0
North America,1774,0
North America,1775,0
North America,1776,0
North America,1777,0
North America,1778,0
North America,1779,0
North America,1780,0
North America,1781,0
North America,1782,0
North America,1783,0
North America,1784,0
North America,1785,3664
North America,1786,3664
North America,1787,3664
North America,1788,3664
North America,1789,3664
North America,1790,3664
North America,1791,3664
North America,1792,3664
North America,1793,3664
North America,1794,3664
North America,1795,3664
North America,1796,3664
North America,1797,3664
North America,1798,3664
North America,1799,3664
North America,1800,256480
North America,1801,271136
North America,1802,293120
North America,1803,300448
North America,1804,337088
North America,1805,344416
North America,1806,337088
North America,1807,381056
North America,1808,395712
North America,1809,406704
North America,1810,421360
North America,1811,450672
North America,1812,487312
North America,1813,523952
North America,1814,564256
North America,1815,604560
North America,1816,666848
North America,1817,721808
North America,1818,784096
North America,1819,765776
North America,1820,795088
North America,1821,831728
North America,1822,868368
North America,1823,905008
North America,1824,1018592
North America,1825,1139504
North America,1826,1319040
North America,1827,1450944
North America,1828,1597504
North America,1829,1799024
North America,1830,2092144
North America,1831,2268016
North America,1832,3026464
North America,1833,3532096
North America,1834,3385536
North America,1835,4319856
North America,1836,4733888
North America,1837,5309136
North America,1838,5034336
North America,1839,5521648
North America,1840,5877056
North America,1841,6217808
North America,1842,6921296
North America,1843,7767680
North America,1844,9310224
North America,1845,11208176
North America,1846,12736064
North America,1847,15103008
North America,1848,16825088
North America,1849,18268704
North America,1850,19851552
North America,1851,24702688
North America,1852,26875440
North America,1853,30264640
North America,1854,33283776
North America,1855,38310784
North America,1856,40216064
North America,1857,41271296
North America,1858,41912496
North America,1859,45635120
North America,1860,47818864
North America,1861,46137088
North America,1862,48009392
North America,1863,55513264
North America,1864,59499696
North America,1865,59840448
North America,1866,60474320
North America,1867,74459808
North America,1868,83297376
North America,1869,94380976
North America,1870,99844000
North America,1871,104801392
North America,1872,128152064
North America,1873,141115296
North America,1874,135919744
North America,1875,137623504
North America,1876,134677648
North America,1877,149198080
North America,1878,145838192
North America,1879,177652704
North America,1880,203916427
North America,1881,215784159
North America,1882,242011133
North America,1883,261313162
North America,1884,276188986
North America,1885,280406263
North America,1886,296260420
North America,1887,317530121
North America,1888,387186409
North America,1889,346834818
North America,1890,414160901
North America,1891,441886407
North America,1892,464918356
North America,1893,469479973
North America,1894,439768627
North America,1895,493973873
North America,1896,496110050
North America,1897,515774860
North America,1898,561765481
North America,1899,645458850
North America,1900,684366970
North America,1901,746684552
North America,1902,791569041
North America,1903,923924101
North America,1904,916872850
North America,1905,1023576757
North America,1906,1074778612
North America,1907,1253116545
North America,1908,1103991618
North America,1909,1214811018
North America,1910,1327425056
North America,1911,1327461787
North America,1912,1419666758
North America,1913,1533790293
North America,1914,1396792845
North America,1915,1443461145
North America,1916,1613035511
North America,1917,1782872794
North America,1918,1868648396
North America,1919,1596982057
North America,1920,1899938011
North America,1921,1595440551
North America,1922,1591500224
North America,1923,2062964073
North America,1924,1845231935
North America,1925,1892376224
North America,1926,2037959547
North America,1927,1989282152
North America,1928,1953447300
North America,1929,2090042962
North America,1930,1865619639
North America,1931,1582574360
North America,1932,1349391392
North America,1933,1441233360
North America,1934,1542101354
North America,1935,1600188914
North America,1936,1830039443
North America,1937,1921476296
North America,1938,1637415638
North America,1939,1801314442
North America,1940,2020176587
North America,1941,2199466111
North America,1942,2360895189
North America,1943,2442572247
North America,1944,2620135378
North America,1945,2528287260
North America,1946,2437620452
North America,1947,2676599193
North America,1948,2790213188
North America,1949,2352740570
North America,1950,2744654190
North America,1951,2840649323
North America,1952,2768178227
North America,1953,2831916500
North America,1954,2718204184
North America,1955,2966226498
North America,1956,3124030685
North America,1957,3103255373
North America,1958,3022679316
North America,1959,3114883663
North America,1960,3189112226
North America,1961,3184349939
North America,1962,3309376792
North America,1963,3442290937
North America,1964,3621031075
North America,1965,3771440604
North America,1966,3956276316
North America,1967,4126962898
North America,1968,4289367868
North America,1969,4501679888
North America,1970,4862418409
North America,1971,4916075467
North America,1972,5162109508
North America,1973,5397122525
North America,1974,5251285810
North America,1975,5127968610
North America,1976,5434560667
North America,1977,5591028587
North America,1978,5676990941
North America,1979,5792359070
North America,1980,5621038348
North America,1981,5495519473
North America,1982,5263629687
North America,1983,5203537112
North America,1984,5461843912
North America,1985,5465180017
North America,1986,5450086150
North America,1987,5656466693
North America,1988,5906086497
North America,1989,6018100327
North America,1990,5984512141
North America,1991,5932717441
North America,1992,6057230391
North America,1993,6163882533
North America,1994,6288259639
North America,1995,6350638338
North America,1996,6576288267
North America,1997,6695065330
North America,1998,6765937652
North America,1999,6861781942
North America,2000,7107691709
North America,2001,7014631472
North America,2002,7068126101
North America,2003,7183859119
North America,2004,7282769072
North America,2005,7330252917
North America,2006,7265229406
North America,2007,7376088584
North America,2008,7158261808
North America,2009,6670754218
North America,2010,6875767079
North America,2011,6771607912
North America,2012,6580282771
North America,2013,6714923529
North America,2014,6753942686
North America,2015,6612704117
North America,2016,6471359556
North America,2017,6412981891
North America,2018,6588629908
North America,2019,6460726238
North America,2020,5775158655
Oceania,1750,0
Oceania,1751,0
Oceania,1752,0
Oceania,1753,0
Oceania,1754,0
Oceania,1755,0
Oceania,1756,0
Oceania,1757,0
Oceania,1758,0
Oceania,1759,0
Oceania,1760,0
Oceania,1761,0
Oceania,1762,0
Oceania,1763,0
Oceania,1764,0
Oceania,1765,0
Oceania,1766,0
Oceania,1767,0
Oceania,1768,0
Oceania,1769,0
Oceania,1770,0
Oceania,1771,0
Oceania,1772,0
Oceania,1773,0
Oceania,1774,0
Oceania,1775,0
Oceania,1776,0
Oceania,1777,0
Oceania,1778,0
Oceania,1779,0
Oceania,1780,0
Oceania,1781,0
Oceania,1782,0
Oceania,1783,0
Oceania,1784,0
Oceania,1785,0
Oceania,1786,0
Oceania,1787,0
Oceania,1788,0
Oceania,1789,0
Oceania,1790,0
Oceania,1791,0
Oceania,1792,0
Oceania,1793,0
Oceania,1794,0
Oceania,1795,0
Oceania,1796,0
Oceania,1797,0
Oceania,1798,0
Oceania,1799,0
Oceania,1800,0
Oceania,1801,0
Oceania,1802,0
Oceania,1803,0
Oceania,1804,0
Oceania,1805,0
Oceania,1806,0
Oceania,1807,0
Oceania,1808,0
Oceania,1809,0
Oceania,1810,0
Oceania,1811,0
Oceania,1812,0
Oceania,1813,0
Oceania,1814,0
Oceania,1815,0
Oceania,1816,0
Oceania,1817,0
Oceania,1818,0
Oceania,1819,0
Oceania,1820,0
Oceania,1821,0
Oceania,1822,0
Oceania,1823,0
Oceania,1824,0
Oceania,1825,0
Oceania,1826,0
Oceania,1827,0
Oceania,1828,0
Oceania,1829,0
Oceania,1830,0
Oceania,1831,0
Oceania,1832,0
Oceania,1833,0
Oceania,1834,0
Oceania,1835,0
Oceania,1836,0
Oceania,1837,0
Oceania,1838,0
Oceania,1839,0
Oceania,1840,0
Oceania,1841,0
Oceania,1842,0
Oceania,1843,0
Oceania,1844,0
Oceania,1845,0
Oceania,1846,0
Oceania,1847,0
Oceania,1848,0
Oceania,1849,0
Oceania,1850,0
Oceania,1851,0
Oceania,1852,0
Oceania,1853,0
Oceania,1854,0
Oceania,1855,0
Oceania,1856,0
Oceania,1857,0
Oceania,1858,0
Oceania,1859,0
Oceania,1860,278464
Oceania,1861,509296
Oceania,1862,355408
Oceania,1863,399376
Oceania,1864,267472
Oceania,1865,421360
Oceania,1866,696160
Oceania,1867,894016
Oceania,1868,732800
Oceania,1869,641200
Oceania,1870,600896
Oceania,1871,692496
Oceania,1872,707152
Oceania,1873,868368
Oceania,1874,890352
Oceania,1875,828064
Oceania,1876,930656
Oceania,1877,1066224
Oceania,1878,1322704
Oceania,1879,1960240
Oceania,1880,2861584
Oceania,1881,2502512
Oceania,1882,2839600
Oceania,1883,3352560
Oceania,1884,3631024
Oceania,1885,4034064
Oceania,1886,4067040
Oceania,1887,4272224
Oceania,1888,4891440
Oceania,1889,4737552
Oceania,1890,4968384
Oceania,1891,5499664
Oceania,1892,5653552
Oceania,1893,5506992
Oceania,1894,5968656
Oceania,1895,6214144
Oceania,1896,6272768
Oceania,1897,6851680
Oceania,1898,7635776
Oceania,1899,7961872
Oceania,1900,12607824
Oceania,1901,14179680
Oceania,1902,14436160
Oceania,1903,14388528
Oceania,1904,14978432
Oceania,1905,15586656
Oceania,1906,18221072
Oceania,1907,19562096
Oceania,1908,20906784
Oceania,1909,18818304
Oceania,1910,22339408
Oceania,1911,23848976
Oceania,1912,25648000
Oceania,1913,26604304
Oceania,1914,29561152
Oceania,1915,26725216
Oceania,1916,24310640
Oceania,1917,25376864
Oceania,1918,27483664
Oceania,1919,25867840
Oceania,1920,29290016
Oceania,1921,26651936
Oceania,1922,27905024
Oceania,1923,28685456
Oceania,1924,31059728
Oceania,1925,32323808
Oceania,1926,32125952
Oceania,1927,33390032
Oceania,1928,31000847
Oceania,1929,28546174
Oceania,1930,26893798
Oceania,1931,23784460
Oceania,1932,23880348
Oceania,1933,25125693
Oceania,1934,26679554
Oceania,1935,29378853
Oceania,1936,31225003
Oceania,1937,33236124
Oceania,1938,32281157
Oceania,1939,36603309
Oceania,1940,33796657
Oceania,1941,39545532
Oceania,1942,41597877
Oceania,1943,40360099
Oceania,1944,39678416
Oceania,1945,38314307
Oceania,1946,40952299
Oceania,1947,43465180
Oceania,1948,43922526
Oceania,1949,43255470
Oceania,1950,63714413
Oceania,1951,67686754
Oceania,1952,70254297
Oceania,1953,68666774
Oceania,1954,77700743
Oceania,1955,81151547
Oceania,1956,84276196
Oceania,1957,86297625
Oceania,1958,88946073
Oceania,1959,95053307
Oceania,1960,100973380
Oceania,1961,103676995
Oceania,1962,107208883
Oceania,1963,114488152
Oceania,1964,124048756
Oceania,1965,136725214
Oceania,1966,136762210
Oceania,1967,145474846
Oceania,1968,151161138
Oceania,1969,159429093
Oceania,1970,165832813
Oceania,1971,172156168
Oceania,1972,177757861
Oceania,1973,194305177
Oceania,1974,196740328
Oceania,1975,199435004
Oceania,1976,198480865
Oceania,1977,213266231
Oceania,1978,224620093
Oceania,1979,226513268
Oceania,1980,243555227
Oceania,1981,252122044
Oceania,1982,257191421
Oceania,1983,247750357
Oceania,1984,260633525
Oceania,1985,268324406
Oceania,1986,268056450
Oceania,1987,285610352
